,name,time_to_no_change,percentage_adopting,clustering_coefficient,density,avg_path_len
0,NCM_Graph,1,0.17647058823529413,0.39473684210526316,0.21323529411764705,2.8308823529411766
1,NCM_Graph,5,0.4117647058823529,0.39473684210526316,0.21323529411764705,2.8308823529411766
2,NCM_Graph,7,0.8235294117647058,0.39473684210526316,0.21323529411764705,2.8308823529411766
3,circulantGraph_2x,11,1.0,0.5,0.21052631578947367,2.8947368421052633
4,circulantGraph_2x,0,0.1,0.5,0.21052631578947367,2.8947368421052633
5,circulantGraph_4x,0,0.1,0.6428571428571429,0.42105263157894735,1.736842105263158
6,circulantGraph_4x,9,1.0,0.6428571428571429,0.42105263157894735,1.736842105263158
7,karateGraph,7,0.35294117647058826,0.2556818181818182,0.13903743315508021,2.408199643493761
8,karateGraph,4,0.4117647058823529,0.2556818181818182,0.13903743315508021,2.408199643493761
9,BAGraph_100,1,0.043,0.05683690280065898,0.039595959595959594,3.0517171717171716
10,BAGraph_100,25,0.469,0.07722308892355695,0.039595959595959594,3.0125252525252524
11,BAGraph_410,40,0.6834146341463414,0.01917381137957911,0.00973224402170672,3.728248553879182
12,BAGraph_410,13,1.0,0.021570562526434512,0.00973224402170672,3.641481304788598
13,smallWorldGraph_100,2,0.046,0.182370820668693,0.04040404040404041,3.883030303030303
14,smallWorldGraph_100,1,0.046,0.18111455108359134,0.04040404040404041,3.8777777777777778
15,smallWorldGraph_410,18,0.20512195121951218,0.0057692307692307696,0.004889975550122249,inf
16,dublinGraph,18,0.5024390243902439,0.43569328760411563,0.032977518039239075,3.630854553044308
